#OTU	NSTI
EU592964	0.012995
EU714343	0.009856
EU730916	0.000679
EU827472	0.0034340000000000004
EU879962	0.0033090000000000003
EU919766	0.018397999999999998
EU985310	1.3947969999999998
EU988280	0.186905
EU988793	1.3465770000000001
EU988892	0.126522
EU989879	0.38905
EU991848	0.090999
EU993654	0.036094
EU993877	0.013578999999999999
EU995836	0.437641
EU997044	0.129842
EU998053	0.11156400000000001
EU998569	0.07007100000000001
FAUST1	0.241495
FJ193928	0.018834
FJ227313	0.010676
FJ263917	0.0069489999999999994
FJ470432	0.003988
FJ470435	0.9153899999999999
FJ470477	0.017294999999999998
FJ470946	0.178578
FJ471638	0.005988
FJ471646	0.006286
FJ471662	0.016191999999999998
FJ471664	0.01345
FJ482175	16.929373000000002
FJ545433	0.013156999999999999
FJ557584	0.0051
FJ557684	0.019111000000000003
FJ557816	0.013006
FJ577250	0.00896
FJ577253	0.029318
FJ577256	0.027348
FJ577257	0.018271000000000003
FJ577258	0.016186000000000002
FJ577259	0.00596
FJ577260	0.004164999999999999
FJ577261	0.030316000000000003
FJ604679	0.115193
FJ665968	0.014738999999999999
FJ705147	0.242995
FJ717336	0.009068999999999999
FJ719049	0.030705
FJ773360	0.016852000000000002
FJ773363	0.075313
FJ773364	0.026097000000000002
FJ773366	0.022378
FJ773368	0.012078
FJ823151	0.036552999999999995
FJ825149	0.008213
FJ939592	0.002838
FJ976221	0.025144999999999997
FJ976230	0.032780000000000004
FJ976233	0.015855
FJ976257	0.9153899999999999
FJ976270	0.9153899999999999
FJ976273	0.019208000000000003
FJ976275	0.035901999999999996
FJ976277	0.021522
FJ976302	0.007823
FJ976307	0.206121
FJ976309	0.038832
FJ976328	0.011206
FJ976344	0.012431000000000001
FJ976347	0.032744
FJ976395	0.03067
FJ976410	0.069003
FJ976416	0.012980000000000002
FJ976440	0.030264
FJ976448	0.5533140000000001
FJ983027	0.014157
FJ983036	0.009833
FJ983115	0.0077280000000000005
FM207959	0.482483
FM873628	0.017294999999999998
FM874323	0.071371
FM874456	0.010059
FM875729	0.007579000000000001
FM956635	0.022872
GQ002575	0.029983
GQ006774	0.024413999999999998
GQ006840	0.02599
GQ009002	0.016165000000000002
GQ009028	0.012768
GQ015164	0.013731
GQ016227	0.048691000000000005
GQ016564	0.024161000000000002
GQ017278	0.147024
GQ018918	0.034505
GQ021122	0.017043
GQ028280	0.009288
GQ036304	0.004441
GQ038062	0.015556
GQ039219	0.622987
GQ039328	0.029945999999999997
GQ046449	0.012607
GQ051099	0.035085000000000005
GQ055398	0.0027649999999999997
GQ055834	0.020653
GQ056894	0.9153899999999999
GQ057946	0.051925
GQ060002	0.017622
GQ064519	0.005475
GQ066992	0.330937
GQ067896	0.015412
GQ068970	0.294052
GQ069079	0.02451
GQ069690	0.021549000000000002
GQ069699	0.031914
GQ069777	0.055542999999999995
GQ070628	0.005665
GQ072160	0.042058
GQ072215	0.043142
GQ072876	0.011003
GQ072927	0.01234
GQ073294	0.022076
GQ074286	0.016316999999999998
GQ074375	0.014013
GQ074447	0.023825
GQ074466	0.206121
GQ074516	0.007816
GQ076113	0.012636
GQ076326	0.022952
GQ076357	0.014077000000000001
GQ076412	0.012013
GQ085802	0.046501
GQ087739	0.206121
GQ087809	0.008537999999999999
GQ091740	0.024534
GQ091889	0.037366
GQ091958	0.045177999999999996
GQ093294	0.013666999999999999
GQ096655	0.018693
GQ098177	0.020657
GQ098970	0.008606
GQ099075	0.009877
GQ101217	0.116993
GQ101360	0.045855
GQ101676	0.016285
GQ102018	0.044016
GQ102089	0.0034950000000000003
GQ103549	0.011142
GQ104743	0.017352
GQ104909	0.014048
GQ105571	0.006968000000000001
GQ106172	0.00772
GQ106263	0.010481
GQ108919	0.010738
GQ109138	0.013484999999999999
GQ109759	0.024108
GQ110320	0.016737000000000002
GQ111212	0.036617000000000004
GQ111262	0.026397000000000004
GQ111695	0.034868
GQ112896	0.017796
GQ113043	0.016748
GQ113810	0.026356
GQ113841	0.01197
GQ114303	0.032716
GQ114905	0.019988
GQ114910	0.007353
GQ115526	0.0070209999999999995
GQ115855	0.00822
GQ115860	0.008106
GQ115882	0.0007099999999999999
GQ115915	0.015083000000000001
GQ115939	0.013922
GQ116155	0.017903
GQ116270	0.9153899999999999
GQ116312	0.020173
GQ131416	0.021195
GQ131418	0.019374000000000002
GQ169683	0.179871
GQ179675	0.041894
GQ179683	0.0044469999999999996
GQ179717	0.01293
GQ249365	0.014708
GQ421312	0.017111
GQ421314	0.021468
GQ421320	0.037305
GQ422716	0.014606000000000001
GQ422722	0.017328
GQ422727	0.224003
GQ422732	0.012355
GQ422742	0.044489999999999995
GQ422744	0.013963999999999999
GQ495892	0.257206
GU086421	0.0111
GU124492	0.005409000000000001
GU227161	0.9153899999999999
GU227174	0.035956
GU227186	0.23016399999999998
GU227212	0.08555
GU227217	0.28292
GU272293	0.010173999999999999
GU361860	0.030860000000000002
GU397952	0.05223
GU399179	0.06736900000000001
GU399841	0.028469
GU400774	0.28292
GU400818	0.28292
